id_participante,rubro_artesanal,actividades_completadas,total_actividades,pretest,postest,analisis_producto,uso_ia,comparacion_rediseno,presentacion_formato,usabilidad,satisfaccion,comentario_abierto
P021,Joyería,16,18,5,8,2,2,3,4,4.7,4.0,Algunas funciones fueron confusas y requerí más tiempo de práctica.
P022,Madera,14,18,3,5,3,3,2,4,4.4,4.1,Muy útil para aplicar nuevas técnicas en mi emprendimiento.
P023,Cerámica,14,18,3,6,2,3,2,3,3.9,4.5,La experiencia fue positiva y mejoró mi presentación final.
P024,Reciclados,18,18,3,8,3,4,2,4,3.8,4.2,La herramienta permitió innovar en mis productos artesanales.
P025,Reciclados,15,18,4,9,3,2,4,3,4.2,4.7,"Excelente experiencia, las actividades fueron claras e interesantes."
P026,Textil,17,18,4,7,2,2,4,3,4.7,3.9,La experiencia fue positiva y mejoró mi presentación final.
P027,Joyería,15,18,5,8,4,2,2,2,4.7,4.6,"Excelente experiencia, las actividades fueron claras e interesantes."
P028,Textil,16,18,4,9,2,2,3,2,4.0,4.0,La experiencia fue positiva y mejoró mi presentación final.
P029,Textil,14,18,5,10,2,4,3,3,4.5,4.8,Aprendí a comparar mi diseño inicial con una versión mejorada.
P030,Joyería,15,18,4,7,4,2,3,2,4.5,4.7,"Me costó entender algunos prompts al inicio, pero luego mejoré."
P031,Joyería,13,18,4,9,4,2,4,2,4.1,4.4,Aprendí a comparar mi diseño inicial con una versión mejorada.
P032,Textil,15,18,3,5,2,3,2,2,4.3,4.4,"Excelente experiencia, las actividades fueron claras e interesantes."
P033,Reciclados,15,18,5,8,3,3,4,4,4.7,4.4,La herramienta permitió innovar en mis productos artesanales.
P034,Cuero,17,18,5,8,2,3,2,3,4.2,3.8,La herramienta permitió innovar en mis productos artesanales.
P035,Reciclados,15,18,3,6,3,2,2,4,4.5,4.2,Necesité más acompañamiento para completar algunas tareas.
P036,Reciclados,13,18,6,9,2,3,3,2,5.0,4.8,"Me costó entender algunos prompts al inicio, pero luego mejoré."
P037,Madera,17,18,6,10,3,2,3,3,3.7,4.2,Muy útil para aplicar nuevas técnicas en mi emprendimiento.
P038,Reciclados,16,18,6,10,2,3,3,4,4.5,4.4,"Excelente experiencia, las actividades fueron claras e interesantes."
P039,Cerámica,12,18,4,6,3,3,2,2,4.0,3.9,Las instrucciones fueron claras y pude avanzar sin problemas.
P040,Textil,18,18,5,10,4,4,4,3,4.6,3.8,La IA me ayudó a mejorar mis diseños y generar nuevas ideas.
P041,Cerámica,18,18,4,9,3,2,4,2,4.7,3.8,La herramienta permitió innovar en mis productos artesanales.
P042,Cuero,12,18,5,7,2,3,4,3,4.9,4.0,"Me costó entender algunos prompts al inicio, pero luego mejoré."
P043,Textil,12,18,4,6,3,2,2,2,4.9,4.5,Aprendí a comparar mi diseño inicial con una versión mejorada.
P044,Cuero,18,18,4,8,4,4,2,3,4.1,3.7,Necesité más acompañamiento para completar algunas tareas.
P045,Reciclados,12,18,3,5,4,4,2,4,4.3,4.9,"Excelente experiencia, las actividades fueron claras e interesantes."
P046,Joyería,17,18,6,10,3,4,3,4,3.9,4.0,La herramienta permitió innovar en mis productos artesanales.
P047,Madera,18,18,4,9,2,2,2,2,4.5,4.8,Las instrucciones fueron claras y pude avanzar sin problemas.
P048,Reciclados,13,18,3,5,3,4,4,3,4.4,4.6,La IA me ayudó a mejorar mis diseños y generar nuevas ideas.
P049,Madera,15,18,4,7,3,2,3,3,4.9,5.0,Aprendí a comparar mi diseño inicial con una versión mejorada.
P050,Madera,14,18,4,6,2,3,2,2,4.1,3.8,Necesité más acompañamiento para completar algunas tareas.
P051,Joyería,16,18,4,7,2,2,3,2,3.8,4.5,Las instrucciones fueron claras y pude avanzar sin problemas.
P052,Reciclados,12,18,5,9,2,2,4,4,4.8,3.9,La experiencia fue positiva y mejoró mi presentación final.
P053,Textil,15,18,5,10,3,4,4,4,3.8,4.8,Aprendí a comparar mi diseño inicial con una versión mejorada.
P054,Joyería,17,18,6,9,4,4,2,4,4.4,4.9,La herramienta permitió innovar en mis productos artesanales.
P055,Textil,12,18,3,5,4,3,2,3,4.8,4.4,La IA me ayudó a mejorar mis diseños y generar nuevas ideas.
P056,Madera,17,18,4,9,2,3,2,4,4.9,4.9,"Excelente experiencia, las actividades fueron claras e interesantes."
P057,Madera,17,18,3,8,2,3,2,4,4.7,4.0,Algunas funciones fueron confusas y requerí más tiempo de práctica.
P058,Cuero,15,18,6,8,4,3,2,4,4.5,4.0,La experiencia fue positiva y mejoró mi presentación final.
P059,Reciclados,13,18,5,9,4,4,3,4,4.4,3.7,La IA me ayudó a mejorar mis diseños y generar nuevas ideas.
P060,Reciclados,15,18,5,7,2,4,3,3,4.6,4.1,Algunas funciones fueron confusas y requerí más tiempo de práctica.
